ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5302,SD Vista - Solar Water Pump Project in Kenya,Sunculture Kenya Limited,Energy distribution,,AMS-I.B.,Withdrawn,Kenya,40000,Africa,,8/1/2020,7/31/2027
5127,Restoration of burned-out forests through the carbon-sequestration plantation in forest-steppe zone,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Rejected by Administrator,Russian Federation,7215,Europe,,12/1/2021,11/30/2071
5014,Methane Recovery Project Finca Yalcobe,NaturAceites,Energy demand; Waste handling and disposal,,AMS-I.C.; AMS-III.H.,Rejected by Administrator,Guatemala,56214,Latin America,,5/4/2022,5/3/2029
4876,NAMI REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Withdrawn,Brazil,5282741,Latin America,,7/24/2023,7/23/2053
4858,The Nkuba REDD+ Project,Dian Fossey Gorilla Fund,Agriculture Forestry and Other Land Use,REDD,AR-AMS0007,Rejected by Administrator,"Congo, The Democratic Republic of The",256808,Africa,,1/1/2020,12/31/2049
4823,REDD+ PROJECT - REDDES LOCALES FOR DEVELOPMENT,"Calmecac, Fundacion Para El Desarrollo Integral Del Hombre y Su Entorno",Agriculture Forestry and Other Land Use,ARR; REDD,VM0006,Rejected by Administrator,Guatemala,165618,Latin America,,7/21/2019,7/20/2049
4815,URSTAMM GROUPED PROJECT IFM SWITZERLAND & PILOT PROJECT KELLERAMT,Urstamm AG,Agriculture Forestry and Other Land Use,IFM,VM0012,Withdrawn,Switzerland,487,Europe,,1/1/2023,12/31/2052
4773,Vencedor Guajoya REDD+,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Rejected by Administrator,Peru,147110,Latin America,,11/29/2018,11/28/2048
4734,Tang River Improved Cropland Management Project,Nanyang Soil and Fertilizer Station,Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,394130,Asia,,5/25/2021,5/24/2061
4694,COMPOSTING OF ORGANIC WASTE PROJECT IN HUBEI PROVINCE,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Rejected by Administrator,China,311000,Asia,,5/5/2021,5/4/2031
4692,GUANGZHOU EASTERN SOLID RESOURCE RECYCLING CENTER FOOD WASTE TREATMENT PHASE II PROJECT,"Grandtop  Fushan  Environmental  Protection  Energy  Co., Ltd.",Waste handling and disposal,,ACM0022,Withdrawn,China,282394,Asia,,1/1/2022,12/31/2028
4622,ESTIMATION OF THE GHG EMISSIONS OF THE GRUPO TRANSPORTES MONTERREY S.A.P.I. DE C.V. VEHICLE FLEET,Multiple Proponents,Transport,,AMS-III.S.,Registration and verification approval request denied,Mexico,23483,North America,,1/1/2022,12/31/2031
4615,PANÃMA REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0048,Rejected by Administrator,Brazil,179803,Latin America,,1/1/2022,12/31/2061
4608,One Earth Fund BEC Compost Project 2022,One Earth Fund Inc,Waste handling and disposal,,Climate Action Reserve Landfill Project Protocol,Withdrawn,United States,6500,North America,,12/1/2021,11/30/2031
4565,Muyuan Huainan AWMS GHG Mitigation Project in Anhui Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Withdrawn,China,299177,Asia,,2/20/2022,2/19/2032
4566,Muyuan Suzhou AWMS GHG Mitigation Project in Anhui Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Withdrawn,China,331844,Asia,,2/18/2022,2/17/2032
4568,Muyuan Baicheng AWMS GHG Mitigation Project in Jilin Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Withdrawn,China,411156,Asia,,2/28/2022,2/27/2032
4569,Muyuan Shuangliao AWMS GHG Mitigation Project in Jilin Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Withdrawn,China,127018,Asia,,2/24/2022,2/23/2032
4570,Muyuan Changchun AWMS GHG Mitigation Project in Jilin Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Withdrawn,China,155894,Asia,,2/5/2022,2/4/2032
4572,Muyuan Ongniud Banner AWMS GHG Mitigation Project in Inner Mongolia,"Muyuan Foods Co., Ltd.","Livestock, enteric fermentation, and manure management",,ACM0010,Withdrawn,China,242981,Asia,,2/18/2022,2/17/2032
4575,Muyuan Hinggan League AWMS GHG Mitigation Project in Inner Mongolia,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Withdrawn,China,172105,Asia,,2/17/2022,2/16/2032
4542,Amazônidas REDD+ AUDD Grouped Project,BRCARBON SERVICOS AMBIENTAIS LTDA,Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Brazil,258235,Latin America,,12/19/2019,12/18/2119
4525,The Republic of the Congo Improved Forest Management Project,Société d'Exploitation Forestière Yuan Dong,Agriculture Forestry and Other Land Use,IFM,VM0010,Withdrawn,Congo,2657020,Africa,,8/1/2020,7/31/2040
4526,GHG MITIGATION FROM METHANE AVOIDANCE THROUGH ORGANIC DECOMPOSITION OF WASTE,Green Cross Agritech Private Limited,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Withdrawn,India,241577,Asia,,10/1/2023,9/30/2033
4510,SOIL CARBON SEQUESTRATION BY ADOPTION AND MAINTENANCE OF CLIMATE-SMART AGRICULTURE PRACTICES IN DIFFERENT CROP USE AND DEGRADED PASTURE RECUPERATION.,Agrorobotica - Photonic in Agroenvironmental Certification SA,"Agriculture Forestry and Other Land Use; Livestock, enteric fermentation, and manure management",ALM,VM0042,Rejected by Administrator,Brazil,2624400,Latin America,,1/1/2020,12/31/2026
4492,Qixian MSW Incineration Project,"Qixian Capital Environment Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Rejected by Administrator,China,54583,Asia,,12/8/2021,12/7/2031
4482,Lushan MSW Incineration Project,"Lushan Capital Environment Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Rejected by Administrator,China,60883,Asia,,10/7/2021,10/6/2031
4485,Mejuruá Project,BR ARBO GESTAO FLORESTAL S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Registration request denied,Brazil,2736173,Latin America,,7/26/2021,7/25/2051
4468,Weixin Urban and Rural Organic Waste Management Center in Yunnan Province,"Shanghai Yuanben Biology Science and Technology Co., Ltd.",Waste handling and disposal,,ACM0022,Withdrawn,China,184560,Asia,,12/12/2021,12/11/2031
4462,Forestal RioAquidaban (FRA),global-woods international AG,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Rejected by Administrator,Paraguay,4500,Latin America,,3/1/2000,2/28/2030
4447,Aslan Biogas Plant,Aslan Biyokütle Enerji Üretim ve Ticaret A.Ş.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0010,Withdrawn,Turkey,65339,Europe,,6/24/2022,6/23/2029
4420,Kayseri Biogas Plant,MİR Global Enerji A.Ş.,Energy industries (renewable/non-renewable sources),,ACM0010,Rejected by Administrator,Turkey,102204,Europe,,6/30/2021,6/29/2028
4421,Eskişehir Landfill Biogas Plant,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0010,Rejected by Administrator,Turkey,64670,Europe,,7/1/2021,6/30/2028
4419,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Colombia,1067300,Latin America,,5/20/2020,5/19/2040
