ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5264,Yunfu LFG Power Generation Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,47759,Asia,4/7/2025,12/17/2022,12/16/2032
5214,Pingjiang County Domestic Waste Harmless Landfill Site LFG Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,60882,Asia,3/16/2025,3/21/2023,3/20/2033
5203,"Luoding BCCY New Power CO., Ltd. MSW biogas to electricity generation project","Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,44555,Asia,3/16/2025,12/28/2022,12/27/2032
5186,Quanzhou Canhua PET Recycling Project,"Fujian Province Canhua Enviromental Material Co., Ltd",Waste handling and disposal,,VMR0007,Registered,China,58574,Asia,2/25/2025,11/15/2022,11/14/2032
5165,Haiweidun electric vehicle in passenger transportation project,Suzhou Haiweidun Car Rental Co. LTD,Transport,,AMS-III.C.,Registered,China,43739,Asia,2/27/2025,11/1/2022,10/31/2032
5149,Huangtupo CMM Power Generation Project,"Qinyuan County Hetong Comprehensive Energy Service Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,178339,Asia,3/5/2025,3/19/2023,3/18/2033
5138,Wuhan Jiangxia Changshankou LFG Power Project Phase II,"Wuhan Huantou Environmental Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,157260,Asia,3/10/2025,11/22/2022,11/21/2032
5114,Grouped Projects for Safe Water Program in Uganda,Evidence Action,Energy demand,,AMS-I.E.; VMR0006; AMS-III.AV.,Registered,Uganda,429057,Africa,1/30/2025,9/1/2022,8/31/2029
5115,Grouped Projects for Safe Water Program in Malawi,Evidence Action,Energy demand,,AMS-I.E.; VMR0006; AMS-III.AV.,Registered,Malawi,364574,Africa,2/6/2025,9/1/2022,8/31/2029
5085,Tond Tenga,Tree Aid,Agriculture Forestry and Other Land Use,ARR,VM0047,Registered,Burkina Faso,92592,Africa,4/4/2025,7/31/2023,7/30/2063
5078,CTR Metropolitana Landfill Gas,ALAGOAS AMBIENTAL S/A,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Brazil,93308,Latin America,4/14/2025,8/10/2022,8/9/2029
5053,EASY BREATHE INDIA SMART COOKSTOVE PROGRAM,EVI Green Markets Pte. Ltd.,Energy demand,,VMR0006,Registered,India,1720,Asia,4/23/2025,5/29/2023,5/28/2030
5052,Tech-Bank Swine Manure Composting Project in Jiangsu Province,"Tech-Bank Food Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,41050,Asia,3/9/2025,11/1/2022,10/31/2032
5046,Yangquan Guzhuang 8MW CMM Power Generation Project,Yangquan Zhonglian Energy Technology Co.,"Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas); Mining/mineral production",,ACM0008,Registered,China,240337,Asia,1/6/2025,10/28/2022,10/27/2032
